{'cmd': 'experiment', 'dataset': 'davis', 'data_dir': None, 'drug_model': 'DeepChem/ChemBERTa-77M-MLM', 'protein_model': 'esm2-650m', 'drug_pool': 'mean', 'protein_pool': 'mean', 'max_smi_len': 512, 'max_prot_len': 1022, 'long_strategy': 'truncate', 'drug_fingerprint': 'none', 'fp_bits': 2048, 'encode_batch_size': 4, 'encode_device': 'auto', 'rebuild_cache': False, 'device': 'auto', 'seed': 1, 'batch_size': 256, 'num_workers': 0, 'dropout': 0.2, 'epochs': 100, 'lr': 0.001, 'patience': 15, 'weight_decay': 0.0001, 'lr_schedule': 'plateau', 'grad_clip': 1.0, 'normalize_target': True, 'out_dir': '/data/user/nnguye26/deepdta/runs/deepdta_pretrain/davis/20260829-1646_plm-esm650m_experiment'}
Device: cuda
Encoders: {'drug': {'hf_name': 'DeepChem/ChemBERTa-77M-MLM', 'dim': 384, 'pool': 'mean', 'max_len': 512, 'max_length_with_special': 514, 'n_texts': 68, 'n_truncated': 0, 'token_len_min': 40, 'token_len_max': 94, 'token_len_mean': 64.32352941176471}, 'protein': {'hf_name': 'facebook/esm2_t33_650M_UR50D', 'dim': 1280, 'pool': 'mean', 'max_len': 1022, 'max_len_requested': 1022, 'max_length_with_special': 1024, 'long_strategy': 'truncate', 'n_texts': 442, 'n_truncated': 109, 'token_len_min': 246, 'token_len_max': 2551, 'token_len_mean': 790.947963800905}}
Drugs=68 proteins=442 labeled=30056
Fold 0: train=20036 val=5010 test=5010
Epoch 054 | train MSE 0.22472 CI 0.88100 | val MSE 0.27896 CI 0.86695
Epoch 055 | train MSE 0.22246 CI 0.88128 | val MSE 0.29503 CI 0.86218
Epoch 056 | train MSE 0.22702 CI 0.87946 | val MSE 0.28540 CI 0.86796
Epoch 057 | train MSE 0.21858 CI 0.88160 | val MSE 0.27736 CI 0.87165
Epoch 058 | train MSE 0.21277 CI 0.88050 | val MSE 0.27982 CI 0.86753
Epoch 059 | train MSE 0.22456 CI 0.88151 | val MSE 0.28318 CI 0.86748
Epoch 060 | train MSE 0.22077 CI 0.88210 | val MSE 0.28608 CI 0.86625
Epoch 061 | train MSE 0.21868 CI 0.88124 | val MSE 0.28484 CI 0.86898
Epoch 062 | train MSE 0.21934 CI 0.87975 | val MSE 0.28631 CI 0.86861
Epoch 063 | train MSE 0.21566 CI 0.88377 | val MSE 0.27279 CI 0.87345
Epoch 064 | train MSE 0.21874 CI 0.88227 | val MSE 0.27670 CI 0.87114
Epoch 065 | train MSE 0.21385 CI 0.88316 | val MSE 0.27829 CI 0.87162
Epoch 066 | train MSE 0.21300 CI 0.88402 | val MSE 0.26599 CI 0.87428
Epoch 067 | train MSE 0.21279 CI 0.88451 | val MSE 0.27309 CI 0.86930
Epoch 068 | train MSE 0.20890 CI 0.88408 | val MSE 0.27405 CI 0.86721
Epoch 069 | train MSE 0.20819 CI 0.88632 | val MSE 0.26916 CI 0.87306
Epoch 070 | train MSE 0.21197 CI 0.88400 | val MSE 0.27306 CI 0.86975
Epoch 071 | train MSE 0.20805 CI 0.88471 | val MSE 0.26972 CI 0.86773
Epoch 072 | train MSE 0.20875 CI 0.88657 | val MSE 0.27062 CI 0.87070
  lr 5.00e-04 -> 2.50e-04
Epoch 073 | train MSE 0.19411 CI 0.88803 | val MSE 0.26639 CI 0.87511
Epoch 074 | train MSE 0.19391 CI 0.89111 | val MSE 0.27077 CI 0.86744
Epoch 075 | train MSE 0.19081 CI 0.89116 | val MSE 0.26404 CI 0.87283
Epoch 076 | train MSE 0.18904 CI 0.89068 | val MSE 0.27549 CI 0.87098
Epoch 077 | train MSE 0.19205 CI 0.89292 | val MSE 0.27132 CI 0.87421
Epoch 078 | train MSE 0.18794 CI 0.89109 | val MSE 0.26979 CI 0.87183
Epoch 079 | train MSE 0.18799 CI 0.89262 | val MSE 0.26812 CI 0.87519
Epoch 080 | train MSE 0.18737 CI 0.89216 | val MSE 0.26559 CI 0.87829
Epoch 081 | train MSE 0.18699 CI 0.89013 | val MSE 0.26822 CI 0.87370
  lr 2.50e-04 -> 1.25e-04
Epoch 082 | train MSE 0.18048 CI 0.89531 | val MSE 0.26322 CI 0.87640
Epoch 083 | train MSE 0.18095 CI 0.89569 | val MSE 0.26528 CI 0.87409
Epoch 084 | train MSE 0.18145 CI 0.89323 | val MSE 0.26501 CI 0.87410
Epoch 085 | train MSE 0.17596 CI 0.89625 | val MSE 0.26114 CI 0.87403
Epoch 086 | train MSE 0.17209 CI 0.89650 | val MSE 0.25783 CI 0.87666
Epoch 087 | train MSE 0.17814 CI 0.89487 | val MSE 0.26311 CI 0.87604
Epoch 088 | train MSE 0.18093 CI 0.89746 | val MSE 0.26455 CI 0.87640
Epoch 089 | train MSE 0.17871 CI 0.89433 | val MSE 0.26349 CI 0.87405
Epoch 090 | train MSE 0.17164 CI 0.89754 | val MSE 0.26506 CI 0.87472
Epoch 091 | train MSE 0.17590 CI 0.89489 | val MSE 0.25984 CI 0.87482
Epoch 092 | train MSE 0.17602 CI 0.89607 | val MSE 0.26192 CI 0.87329
  lr 1.25e-04 -> 6.25e-05
Epoch 093 | train MSE 0.16997 CI 0.89617 | val MSE 0.26048 CI 0.87468
Epoch 094 | train MSE 0.17266 CI 0.89706 | val MSE 0.26162 CI 0.87451
Epoch 095 | train MSE 0.17305 CI 0.89647 | val MSE 0.26358 CI 0.87493
Epoch 096 | train MSE 0.16922 CI 0.89723 | val MSE 0.25922 CI 0.87541
Epoch 097 | train MSE 0.17412 CI 0.89616 | val MSE 0.25983 CI 0.87581
Epoch 098 | train MSE 0.16872 CI 0.89718 | val MSE 0.25919 CI 0.87525
  lr 6.25e-05 -> 3.13e-05
Epoch 099 | train MSE 0.17065 CI 0.89776 | val MSE 0.26260 CI 0.87449
Epoch 100 | train MSE 0.16806 CI 0.89725 | val MSE 0.26087 CI 0.87508
Best val MSE 0.25783 @ epoch 86 (last epoch 100)
Loaded best.pt (epoch 86, val MSE 0.25783385050411667)
Fold=0 val CI=0.87666 MSE=0.25783 | test CI=0.86724 MSE=0.27680 rm2=0.64454 AUPR=0.70914
Fold 1: train=20037 val=5009 test=5010
Epoch 001 | train MSE 0.88083 CI 0.65226 | val MSE 0.63044 CI 0.73400
Epoch 002 | train MSE 0.57737 CI 0.74647 | val MSE 0.55451 CI 0.77971
Epoch 003 | train MSE 0.52564 CI 0.77883 | val MSE 0.49906 CI 0.79736
Epoch 004 | train MSE 0.50358 CI 0.78952 | val MSE 0.50400 CI 0.79606
Epoch 005 | train MSE 0.46697 CI 0.80245 | val MSE 0.44460 CI 0.81519
Epoch 006 | train MSE 0.43963 CI 0.81029 | val MSE 0.45548 CI 0.82168
Epoch 007 | train MSE 0.43079 CI 0.81287 | val MSE 0.43741 CI 0.82126
Epoch 008 | train MSE 0.40916 CI 0.81759 | val MSE 0.42460 CI 0.81111
Epoch 009 | train MSE 0.39813 CI 0.82152 | val MSE 0.40286 CI 0.82867
Epoch 010 | train MSE 0.38833 CI 0.82715 | val MSE 0.40058 CI 0.83357
Epoch 011 | train MSE 0.37381 CI 0.82903 | val MSE 0.38617 CI 0.83245
Epoch 012 | train MSE 0.37904 CI 0.83088 | val MSE 0.41287 CI 0.82942
Epoch 013 | train MSE 0.36384 CI 0.83492 | val MSE 0.36408 CI 0.84383
Epoch 014 | train MSE 0.35266 CI 0.83699 | val MSE 0.36440 CI 0.84281
Epoch 015 | train MSE 0.35611 CI 0.83825 | val MSE 0.37095 CI 0.83936
Epoch 016 | train MSE 0.34743 CI 0.84206 | val MSE 0.35543 CI 0.84533
Epoch 017 | train MSE 0.33547 CI 0.84641 | val MSE 0.37142 CI 0.84597
Epoch 018 | train MSE 0.33205 CI 0.84779 | val MSE 0.34086 CI 0.84783
Epoch 019 | train MSE 0.32065 CI 0.84821 | val MSE 0.38130 CI 0.84239
Epoch 020 | train MSE 0.32413 CI 0.84734 | val MSE 0.34705 CI 0.85119
Epoch 021 | train MSE 0.30846 CI 0.85160 | val MSE 0.31994 CI 0.85500
Epoch 022 | train MSE 0.31177 CI 0.85229 | val MSE 0.34695 CI 0.84907
Epoch 023 | train MSE 0.30323 CI 0.85375 | val MSE 0.32910 CI 0.85100
Epoch 024 | train MSE 0.30380 CI 0.85503 | val MSE 0.32670 CI 0.85107
Epoch 025 | train MSE 0.29348 CI 0.86084 | val MSE 0.32364 CI 0.85501
Epoch 026 | train MSE 0.29729 CI 0.85729 | val MSE 0.30989 CI 0.85858
Epoch 027 | train MSE 0.28901 CI 0.85746 | val MSE 0.31175 CI 0.85808
Epoch 028 | train MSE 0.28942 CI 0.86121 | val MSE 0.31873 CI 0.85400
Epoch 029 | train MSE 0.28889 CI 0.86139 | val MSE 0.32762 CI 0.85617
Epoch 030 | train MSE 0.27188 CI 0.86149 | val MSE 0.29501 CI 0.86523
Epoch 031 | train MSE 0.27487 CI 0.86255 | val MSE 0.31081 CI 0.86233
Epoch 032 | train MSE 0.26815 CI 0.86595 | val MSE 0.31286 CI 0.85858
Epoch 033 | train MSE 0.26478 CI 0.86525 | val MSE 0.30848 CI 0.86284
Epoch 034 | train MSE 0.26476 CI 0.86386 | val MSE 0.31608 CI 0.86297
Epoch 035 | train MSE 0.26256 CI 0.86799 | val MSE 0.30342 CI 0.86509
Epoch 036 | train MSE 0.26122 CI 0.87110 | val MSE 0.30078 CI 0.86236
  lr 1.00e-03 -> 5.00e-04
Epoch 037 | train MSE 0.23547 CI 0.87731 | val MSE 0.29372 CI 0.86702
Epoch 038 | train MSE 0.23341 CI 0.87672 | val MSE 0.28298 CI 0.87112
Epoch 039 | train MSE 0.22794 CI 0.87886 | val MSE 0.28241 CI 0.87156
Epoch 040 | train MSE 0.22996 CI 0.87752 | val MSE 0.29288 CI 0.87166
Epoch 041 | train MSE 0.22523 CI 0.87978 | val MSE 0.27910 CI 0.87134
Epoch 042 | train MSE 0.22738 CI 0.88009 | val MSE 0.28083 CI 0.87260
Epoch 043 | train MSE 0.22055 CI 0.88174 | val MSE 0.28467 CI 0.87264
Epoch 044 | train MSE 0.22090 CI 0.88372 | val MSE 0.28826 CI 0.87282
Epoch 045 | train MSE 0.21856 CI 0.88418 | val MSE 0.27822 CI 0.87440
Epoch 046 | train MSE 0.21467 CI 0.88568 | val MSE 0.28120 CI 0.87339
Epoch 047 | train MSE 0.21605 CI 0.88171 | val MSE 0.28045 CI 0.87078
Epoch 048 | train MSE 0.21230 CI 0.88313 | val MSE 0.28033 CI 0.87345
