{'cmd': 'experiment', 'dataset': 'kiba', 'data_dir': None, 'drug_model': 'DeepChem/ChemBERTa-77M-MLM', 'protein_model': 'esm2-650m', 'drug_pool': 'mean', 'protein_pool': 'mean', 'max_smi_len': 512, 'max_prot_len': 1022, 'long_strategy': 'truncate', 'drug_fingerprint': 'none', 'fp_bits': 2048, 'encode_batch_size': 4, 'encode_device': 'auto', 'rebuild_cache': False, 'device': 'auto', 'seed': 1, 'batch_size': 256, 'num_workers': 0, 'dropout': 0.2, 'epochs': 100, 'lr': 0.001, 'patience': 15, 'weight_decay': 0.0001, 'lr_schedule': 'plateau', 'grad_clip': 1.0, 'normalize_target': True, 'out_dir': '/data/user/nnguye26/deepdta/runs/deepdta_pretrain/kiba/20260829-1645_plm-esm650m_experiment'}
Device: cuda
Encoders: {'drug': {'hf_name': 'DeepChem/ChemBERTa-77M-MLM', 'dim': 384, 'pool': 'mean', 'max_len': 510, 'max_len_requested': 512, 'max_length_with_special': 512, 'n_texts': 2111, 'n_truncated': 1, 'token_len_min': 22, 'token_len_max': 592, 'token_len_mean': 59.666982472761724}, 'protein': {'hf_name': 'facebook/esm2_t33_650M_UR50D', 'dim': 1280, 'pool': 'mean', 'max_len': 1022, 'max_len_requested': 1022, 'max_length_with_special': 1024, 'long_strategy': 'truncate', 'n_texts': 229, 'n_truncated': 42, 'token_len_min': 217, 'token_len_max': 4130, 'token_len_mean': 730.9563318777292}}
Drugs=2111 proteins=229 labeled=118254
Fold 0: train=78836 val=19709 test=19709
Epoch 055 | train MSE 0.23546 CI 0.81614 | val MSE 0.25426 CI 0.81629
Epoch 056 | train MSE 0.23323 CI 0.81591 | val MSE 0.24725 CI 0.81864
Epoch 057 | train MSE 0.23395 CI 0.81682 | val MSE 0.25548 CI 0.81731
Epoch 058 | train MSE 0.23281 CI 0.81691 | val MSE 0.24534 CI 0.81783
Epoch 059 | train MSE 0.22764 CI 0.81840 | val MSE 0.25156 CI 0.81868
Epoch 060 | train MSE 0.23138 CI 0.81832 | val MSE 0.24766 CI 0.81744
Epoch 061 | train MSE 0.22549 CI 0.81968 | val MSE 0.25272 CI 0.81818
Epoch 062 | train MSE 0.22729 CI 0.81970 | val MSE 0.24724 CI 0.81742
Epoch 063 | train MSE 0.22530 CI 0.81842 | val MSE 0.24681 CI 0.81983
Epoch 064 | train MSE 0.22567 CI 0.81900 | val MSE 0.25112 CI 0.82165
  lr 1.00e-03 -> 5.00e-04
Epoch 065 | train MSE 0.20797 CI 0.82746 | val MSE 0.23617 CI 0.82362
Epoch 066 | train MSE 0.20237 CI 0.82962 | val MSE 0.23317 CI 0.82534
Epoch 067 | train MSE 0.20487 CI 0.82940 | val MSE 0.24229 CI 0.82545
Epoch 068 | train MSE 0.20163 CI 0.83011 | val MSE 0.23937 CI 0.82540
Epoch 069 | train MSE 0.20034 CI 0.83038 | val MSE 0.23374 CI 0.82620
Epoch 070 | train MSE 0.19870 CI 0.83157 | val MSE 0.23441 CI 0.82742
